42161-867-0x82065b1ab5c0dd7ed2c8aa484ab46405d98a39f2ff18448aa9db1f65ffe704f8,0.0152
42161-867-0x7af48f1f1acdc33c9337943ad37efab210fda912cf8806714e28de883a3cb41a,0.0174
42161-867-0x5292ddf8854afaefc8d9fc16b620483f263b34506832f09ef76a9e03468ebad3,0.0109
42161-867-0x53c004c04e96f375f4ff0dc8616c9d956138415c0299b77d58eac38a3ae4ee6e,0.0152
42161-867-0x9c63882d17d281e74a086bbb834241300e3e5458ff4e44e59a2b3a6e12cdfe8c,0.0195
42161-867-0x5d0a6878dbad1b32495b9ad7ab8da32819e953c98002587641788e13a3be8891,0.0163
42161-867-0xa018fb58a9580407f1abd5c5ed6f43ad3f0c41b89eff7694d46d94082832516b,0.0141
42161-867-0xba1a48507d1c998eeee6bcac441efbc07538646e87aedfaf5277b9eec78c7323,0.0174
42161-867-0x37c6ed16080af764df00450c4857e0d0302f9b3a4be55c430682082703966f5e,0.0130
42161-867-0x4f354435756ee1c1ea18402a559874cd2bb918ad795b7e361e1257425e57a7de,0.0185
42161-867-0x271d16ec14433ccff66237a1d6d35a866174139e14112122da6e2f66b39d5acc,0.0163
42161-867-0x0b65fc24c0ebe9508268f2858d50ec4600e6496af44b458deb7c8142db75d26f,0.0174
42161-867-0xd9b1d85b459118b33c83e4e40a5b3500b691600ff98bc79c49a2377b51d66ba9,0.0152
42161-867-0xdebe51a2b4727f5eb6fab0c707a4f6507e542a8bdcd031eb10c7035799ed0ba0,0.0141
42161-867-0x216cc27aa429f7f75f91798ebe674d61f95c17ac3ba832b87f1f5202144db72d,0.0130
42161-867-0xa8591b322f8e25b13a3b53190920695c48ccd1d8a32657113b90ed6aca1d1841,0.0152
42161-867-0x7db138952e569707526b028c218f0ba4d41189f90a97f544b16e7a989e1b0fb1,0.0141
42161-867-0xd4d3ca125f724ca79fd4de4852dc183a1435dcf22912a9cbd219a7b0aab7c6d6,0.0174
42161-867-0x3c24142776b074f3c4fb7d9bb3155005f38cfb11b836e919bf27966c9ecb0c90,0.0152
42161-867-0x6d99b01618dc3f80cbd2c2f086fb78340d7d6dd944e62acfd5b276a2af23c976,0.0185
42161-867-0xd6e031d8485b1c9a56e742636178c5fccab387bc01008edf73d0f7e97ff5e2ac,0.0185
42161-867-0xdce9247fb94e7db0ec152d6c7e6db5db7ba3d8bcfc0874694ac3c41a86c48a27,0.0163
42161-867-0x8f740037a18645af9890aa8f0a70b50ac2a41f603cac518210af440beca6808b,0.0174
42161-867-0xafa569b3df50c6c51374bf2b214eb7c948cf3dce2a65c3f627bce0a2603cec72,0.0141
42161-867-0x2651563802989f9bc6de16ab5a173d5ad755c0a22f14d8916a31eebcf268afdd,0.0152
42161-867-0xe803a0adb8458416228b48b035e3d18b18c00e8f0714379245649e0986354ce4,0.0130
42161-867-0xd77bec3500a1b3e54ead391aeaad9a664f92643beaa8a50d4302bd67ef7949cf,0.0141
42161-867-0xedff41531fa841bfa0bed54f91d3a88605f3cd84f56094924f349d60222ce507,0.0130
42161-867-0xa0d1c54b1f3922ac6e21fb5f3cb157f96ebdfd6001945952f2c2de1e813a6636,0.0152
42161-867-0x2f1057fe56bbfce069299a5f08b25a68ca258b07662c590e3a9122fd4bf8998e,0.0141
42161-867-0x65448704f2398e9319fa7da4ebf95b9336bea8f50630d5ce2adc7ed28e25288f,0.0152
42161-867-0x599ec45186924f2496fc8a26dc827112aa2b62a43bfb25e3b42f869e8b5e300f,0.0185
42161-867-0xb157eff864d49ee0f3650afcc85d037fb59234e9eccf000db479a2c82aac31bd,0.0174
42161-867-0xf770c31a9c4eda18ca1db9bb19db2666ae92bbcf8d212d11da6ae271130120e2,0.0065
42161-867-0xd7033fea1278ec2f1cbf72d03ff236f302421794300923428fdf85fb3908c8c6,0.0163
42161-867-0xa73b59fdeceb5e6e1218df3da5dcd2cd01e4fdc2ff52f0a15a0f1afbb2f619bf,0.0152
42161-867-0xeff81a9b1ca1db940b74d9b8876c8d8cd62f69f0f1263c28399f4a0120cacf56,0.0163
42161-867-0xdc12f02d7f371b45e80142d9d64687d8857653398ca7dc0354c5a179b182dab5,0.0152
42161-867-0xa26947c84eca0f2623ea98855bed3860478aa2a7c1e89a309189d46d3600fd3b,0.0152
42161-867-0xf1bd30c859b2f0effeed2b6728a4071f294368614de748404fedd2cf3c68a1b1,0.0141
42161-867-0xe3c5497e3073669d3788a015ce9e89fd2ba14028af892c613b7dad8e742d7b46,0.0174
42161-867-0x1f968f0366be7bd577843addba6d7e72a56cdbc4f75e0f7ccfaaeaf00ef60d35,0.0141
42161-867-0x57a057ee120b26cea127ff7e335a8f857dddf13d694be376adf7a6daf8753c13,0.0130
42161-867-0xae22739594e490cb7b044c4be01411a73e0c6b730c8edcf74a897478d06f8f5d,0.0185
42161-867-0x4baeb225e52cabb4235d50429348969aff5da3370235a2c87f6b956b8e33b3c5,0.0174
42161-867-0xe728c3a26d5154476ce35ffdfd47afab7307da93e1ba0194feab18db8efd8138,0.0119
42161-867-0xe900bcc473a3ed4d8a74a13bde447312e89f9ca4873005daaf76b6534ad8f690,0.0163
42161-867-0xf962fb7679660f96e137e9ae12b0962bf6079d40ff18befecf9246ab2111bc30,0.0195
